,Energy Deposited,SiPM Hits,Photons,x_pos,y_pos,z_pos,LCE,log(LCE),Distance
10,0.47325500000000004,1,3893,0.3202165354330709,0.026431535433070866,6.727129921259843,0.00025687130747495504,-8.266935347610456,6.7347987522374835
14,0.466099,31,3899,0.10386181102362206,-0.5118543307086614,2.449799212598425,0.007950756604257501,-4.834488184497451,2.5048549486351863
19,0.46476999999999996,14,3659,0.6478622047244095,0.17505748031496066,2.4964251968503937,0.0038261820169445205,-5.565887835403948,2.585054993843288
20,0.454121,15,3639,-0.03272968503937008,-0.049306692913385824,0.35707086614173206,0.004122011541632316,-5.49141399650995,0.3619419645413309
21,0.474713,6,3708,0.16365669291338583,0.035812480314960635,3.9325897637795273,0.0016181229773462784,-6.42648845745769,3.9361565386891275
49,0.47487299999999993,253,3835,0.5160905511811024,0.3349834645669292,0.4539527559055118,0.06597131681877444,-2.7185352250738366,0.7646152517089143
52,0.469362,21,3816,0.15288503937007877,0.025653228346456697,2.833641732283465,0.00550314465408805,-5.202435594844754,2.837879030248862
54,0.501468,45,4063,0.4941732283464567,0.18845314960629922,1.9395314960629921,0.011075559931085405,-4.503014406217407,2.0103492715026516
59,0.47576,14,3738,-0.07612992125984253,0.4824724409448819,3.853769291338583,0.003745318352059925,-5.58724865840025,3.8845994866970037
69,0.533098,4,4041,-0.050284645669291334,-0.5465944881889764,5.36257874015748,0.000989853996535511,-6.917953103958583,5.3905978169863165
73,0.4703,685,3855,0.049415748031496065,0.05714133858267717,0.35407874015748037,0.17769130998702984,-1.7277074477352046,0.3620480671955603
75,0.46675600000000006,12,3870,0.2810507874015748,-0.47209842519685047,3.364173228346457,0.0031007751937984496,-5.776103136235827,3.408742873625908
79,0.47783100000000006,7,3821,-0.11439094488188976,-0.11615669291338583,4.033106141732284,0.0018319811567652448,-6.302357298391587,4.036399734424009
82,0.47202799999999995,10,3725,0.2144448818897638,0.08393464566929135,4.240182283464567,0.0026845637583892616,-5.920237037819614,4.246431140277578
85,0.467001,36,3688,0.022132480314960627,-0.27617755905511815,2.3004566929133863,0.009761388286334056,-4.629320646220375,2.317081113552249
87,0.46246499999999996,105,3638,-0.0338436220472441,0.20523700787401572,0.14217322834645657,0.028862012094557448,-3.5452290089205443,0.2519540573454001
