#class tools::wcsv::ntuple
#title Data
#separator 44
#vector_separator 59
#column double LXe_Energy_deposited
#column double LXe_SiPM_hits
#column double LXe_Photons_Created
#column double LXe_hit_x_pos
#column double LXe_hit_y_pos
#column double LXe_hit_z_pos
0.382284,15,3106,-10.8102,-3.14777,40.8568
0.0174635,4,119,5.87932,-15.8141,-79.4191
0.30133,25,2370,15.1507,-3.67407,10.7111
0.367272,87,2955,-9.08793,0.701671,-48.6708
0.115272,11,872,-9.88976,0.552783,5.54097
0.406187,18,3171,11.6475,14.8221,60.0578
0.0774891,4,580,-9.67602,1.76177,33.8519
0.0587091,5,452,13.8883,4.26712,-72.0839
0.229464,17,1801,9.06893,-2.35635,-50.7933
0.458616,37,3622,8.16635,-7.91472,49.3827
0.370753,137,2955,10.0974,3.15044,15.6787
0.433118,87,3434,-11.0786,7.71693,-41.2645
0.380141,182,2978,-1.21791,-6.83951,-23.8
0.479541,99,3723,2.7554,-3.5144,-9.87299
0.000497096,1,3,-6.15873,10.613,-75.3065
0.0385601,16,264,-3.04757,14.0034,-57.4222
0.113404,48,809,-10.0161,-5.13214,-68.6389
0.37498,18,2916,7.22741,14.1373,37.6803
0.37856,28,3004,9.40945,-8.2244,19.0656
0.463648,15,3783,-6.48499,-15.0685,27.2045
0.449939,201,3391,9.98761,-3.59043,-56.3134
0.147264,14,1161,12.9785,4.80989,-47.5988
0.00953288,1,80,-9.0406,-10.2106,23.3781
0.257116,55,2060,-15.3138,-4.36118,-37.4702
0.470594,27,3785,9.42306,-5.08418,-6.52917
0.512982,23,4002,4.56524,13.574,44.8699
0.141149,4,1061,12.5848,14.1445,65.1609
0.163014,5,1249,-4.01275,2.1158,56.0322
0.518638,70,4107,2.19959,-4.72709,36.6654
0.391314,17,3119,-9.15839,-10.0536,29.3876
0.0429292,2,327,-7.39164,-6.24375,55.1664
0.300585,16,2353,0.49729,-12.3556,-35.0411
0.430293,40,3430,1.69516,-12.0478,3.8721
0.123426,5,933,-6.27131,-14.7661,25.451
0.482486,116,3623,-5.64094,-13.2012,-74.7884
0.0447121,60,315,1.06608,-12.304,-60.4719
0.414887,147,3235,8.49402,8.00044,-56.7362
0.396507,29,3169,2.98753,-2.4892,7.99923
0.450642,35,3653,-10.9552,-7.90299,-40.2247
0.486761,29,3907,-15.7036,1.07805,5.59046
0.228295,12,1553,-4.69969,4.36149,23.2949
0.446006,97,3552,11.2607,3.49318,-30.3457
0.420571,34,3373,-10.5169,8.75804,34.0092
0.177568,11,1324,-10.7442,15.4554,26.2312
0.297675,133,2285,-3.28285,4.74353,-64.1217
0.461667,58,3633,-4.57421,-3.93535,-56.1892
0.327662,7,2489,-2.81936,-9.96282,78.5426
0.327466,23,2615,-2.78795,-3.40108,44.4755
0.115044,48,846,6.25647,1.28184,-8.49313
0.0802142,9,596,-13.2216,-5.5304,19.5223
0.440655,428,3560,-9.61486,-0.237159,80.4205
0.445098,17,3472,-8.09662,-5.4398,70.9853
0.456968,23,3696,9.6463,-10.8893,43.7915
0.242562,10,2011,-15.443,-10.6483,69.5794
0.268763,153,2181,1.16617,11.3032,-63.7853
0.297103,15,2353,-1.84289,-3.10618,45.6944
0.1445,7,1133,-2.94742,-5.4919,67.8774
0.45148,26,3515,-1.44498,15.205,13.8602
0.354577,107,2853,6.21856,-15.8599,-54.4922
0.457642,60,3622,-3.71246,-1.56276,-33.6422
0.440337,27,3457,1.80784,12.9973,6.94219
0.549244,192,4308,-2.92001,-13.2436,-56.0853
0.542749,34,4167,-10.375,10.3455,20.692
0.46518,16,3641,8.49707,3.27303,72.6707
0.477051,329,3876,-3.14071,-6.67601,-70.8257
0.40874,123,3174,11.7921,1.33073,-12.9392
0.00862907,3,44,-3.40775,12.5774,-77.6353
0.0477168,16,316,10.9124,2.32211,-3.22772
0.254428,149,2057,5.20699,7.00833,-73.7533
0.14429,3,1092,13.1877,-11.3711,66.8858
0.236245,29,1855,-11.6591,-5.15601,-80.6862
0.230577,5,1836,-3.22048,-3.29684,70.9617
0.0820394,3,572,-4.25832,-14.709,37.71
0.028475,3,168,14.6872,10.7863,41.2145
0.269378,31,2058,9.98637,0.185005,-16.4077
0.466563,68,3540,7.25363,6.40354,13.1378
0.236271,55,1897,-7.39155,-3.76629,19.9975
0.434454,119,3413,-2.77694,14.6571,-41.4717
0.47089,161,3828,-2.31376,-8.41538,-38.8718
0.353031,214,2749,14.0359,-13.1619,-72.9217
0.48247,52,3778,-9.33622,12.7391,45.9385
0.486714,163,3836,-12.1472,-0.191831,12.0493
0.383399,118,3140,14.3987,-11.4876,-32.8183
0.0406275,3,262,14.6826,-10.073,70.1777
0.194311,15,1528,5.01746,1.32195,33.743
