#class tools::wcsv::ntuple
#title Data
#separator 44
#vector_separator 59
#column double LXe_Energy_deposited
#column double LXe_SiPM_hits
#column double LXe_Photons_Created
0.147122,17,1170
0.451235,40,3552
0.439755,51,3522
0.476526,56,3733
0.225645,28,1817
0.488916,58,3770
0.0497758,2,339
0.477726,52,3734
0.0277053,2,207
0.404677,48,3191
0.155953,16,1222
0.539577,52,4260
0.2321,23,1882
0.0661924,6,472
0.0619172,5,458
0.304948,40,2297
0.283143,32,2218
0.313476,31,2504
0.28752,30,2201
0.396341,54,3004
0.0953501,17,755
0.456436,58,3642
0.255597,20,1992
0.485017,50,3819
0.0444395,7,328
0.328713,34,2577
0.148442,14,1116
0.480011,66,3732
0.470571,48,3878
0.171158,19,1321
0.272546,32,2098
0.46535,62,3691
0.190559,22,1503
0.505826,58,3923
0.0672939,8,502
0.535469,51,4178
0.221043,25,1676
0.365736,39,2826
0.0269973,3,160
0.112992,11,893
0.32679,38,2623
0.262987,24,2046
0.577333,53,4373
0.162205,18,1232
0.177509,20,1412
0.439256,55,3554
0.0227515,2,144
0.406382,57,3252
0.153478,18,1225
0.102006,12,740
0.320507,42,2538
0.485113,42,3877
0.369517,35,2899
0.464581,42,3551
0.45178,55,3599
0.463538,60,3651
0.347853,28,2719
0.420276,54,3311
0.24941,26,2043
0.453387,53,3645
0.06322,3,472
0.0309343,3,195
0.368635,48,2894
0.198411,20,1527
0.201305,26,1631
0.248991,34,1962
0.122616,11,945
0.495565,80,3895
0.491004,55,3907
0.218971,25,1692
0.421605,39,3383
0.43553,59,3526
0.492261,71,3851
0.449126,54,3572
0.388762,48,3043
0.181638,24,1422
0.214857,36,1767
0.304075,45,2396
0.0197433,1,121
0.282121,26,2285
0.0684998,6,491
0.410427,52,3315
0.323556,41,2553
0.0270159,2,169
0.401251,46,3108
0.0730884,12,518
0.406196,49,3219
0.460156,58,3512
0.26863,30,2145
0.267207,33,2139
0.0920384,11,724
0.356444,46,2870
0.0196298,1,128
0.245507,42,1905
0.415018,53,3259
0.30935,38,2496
0.136601,13,1064
0.0486515,6,334
0.434906,55,3398
0.0685984,6,502
0.451933,40,3553
0.470253,57,3690
0.194402,16,1511
0.29418,38,2296
0.439003,48,3386
0.418362,51,3184
0.452869,62,3599
0.326167,28,2607
0.0113475,2,59
0.0739968,8,533
0.223562,16,1752
0.0549393,12,405
0.493409,67,3867
0.367483,34,2750
0.0875592,13,713
0.201806,28,1566
0.459938,50,3624
0.442779,50,3620
0.154418,22,1215
0.0985133,11,774
0.448425,47,3607
0.432946,44,3378
0.132642,15,1047
0.243771,33,1941
0.482411,70,3885
0.17148,26,1343
0.0704629,9,566
0.195295,27,1555
0.263643,24,1994
0.120873,9,868
